CEFACT Code;Engineering UnitId;Description;DisplayName
CCT;4408148;carrying capacity in metric ton;
CDL;4408396;candela;cd
CEL;4408652;degree Celsius;°C
CEN;4408654;hundred;
CG;17223;card;
CGM;4409165;centigram;cg
CKG;4410183;coulomb per kilogram;C/kg
CLF;4410438;hundred leave;
CLT;4410452;centilitre;cl
CMK;4410699;square centimetre;cm²
CMQ;4410705;cubic centimetre;cm³
CMT;4410708;centimetre;cm
CNP;4410960;hundred pack;
CNT;4410964;cental (UK);
COU;4411221;coulomb;C
CTG;4412487;content gram;
CTM;4412493;metric carat;
CTN;4412494;content ton (metric);
CUR;4412754;curie;Ci
CWA;4413249;hundred pound (cwt) / hundred weight (US);cwt (US)
CWI;4413257;hundred weight (UK);cwt (UK)
D03;4468787;kilowatt hour per hour;kW·h/h
D04;4468788;lot  [unit of weight];
D1;17457;reciprocal second per steradian;s?¹/sr
D10;4469040;siemens per metre;S/m
D11;4469041;mebibit;Mibit
D12;4469042;siemens square metre per mole;S·m²/mol
D13;4469043;sievert;Sv
D15;4469045;sone;
D16;4469046;square centimetre per erg;cm²/erg
D17;4469047;square centimetre per steradian erg;cm²/(sr·erg)
D18;4469048;metre kelvin;m·K
D19;4469049;square metre kelvin per watt;m²·K/W
D2;17458;reciprocal second per steradian metre squared;s?¹/(sr·m²)
D20;4469296;square metre per joule;m²/J
D21;4469297;square metre per kilogram;m²/kg
D22;4469298;square metre per mole;m²/mol
D23;4469299;pen gram (protein);
D24;4469300;square metre per steradian;m²/sr
D25;4469301;square metre per steradian joule;m²/(sr·J)
D26;4469302;square metre per volt second;m²/(V·s)
D27;4469303;steradian;sr
D29;4469305;terahertz;THz
D30;4469552;terajoule;TJ
D31;4469553;terawatt;TW
D32;4469554;terawatt hour;TW·h
D33;4469555;tesla;T
D34;4469556;tex;tex (g/km)
D35;4469557;calorie (thermochemical);calth
D36;4469558;megabit;Mbit
D37;4469559;calorie (thermochemical) per gram kelvin;calth/(g·K)
D38;4469560;calorie (thermochemical) per second centimetre kelvin;calth/(s·cm·K)
D39;4469561;calorie (thermochemical) per second square centimetre kelvin;calth/(s·cm²·K)
D41;4469809;tonne per cubic metre;t/m³
D42;4469810;tropical year;y (tropical)
D43;4469811;unified atomic mass unit;u
D44;4469812;var;var
D45;4469813;volt squared per kelvin squared;V²/K²
D46;4469814;volt - ampere;V·A
D47;4469815;volt per centimetre;V/cm
D48;4469816;volt per kelvin;V/K
D49;4469817;millivolt per kelvin;mV/K
D5;17461;kilogram per square centimetre;kg/cm²
D50;4470064;volt per metre;V/m
D51;4470065;volt per millimetre;V/mm
D52;4470066;watt per kelvin;W/K
D53;4470067;watt per metre kelvin;W/(m·K)
D54;4470068;watt per square metre;W/m²
D55;4470069;watt per square metre kelvin;W/(m²·K)
D56;4470070;watt per square metre kelvin to the fourth power;W/(m²·K?)
D57;4470071;watt per steradian;W/sr
D58;4470072;watt per steradian square metre;W/(sr·m²)
D59;4470073;weber per metre;Wb/m
D6;17462;roentgen per second;R/s
D60;4470320;weber per millimetre;Wb/mm
D61;4470321;minute [unit of angle];'
D62;4470322;second [unit of angle];""""
D63;4470323;book;
D65;4470325;round;
D68;4470328;number of words;
D69;4470329;inch to the fourth power;in?
D70;4470576;calorie (international table) ;calIT
D71;4470577;calorie (international table) per second centimetre kelvin;calIT/(s·cm·K)
D72;4470578;calorie (international table) per second square centimetre kelvin;calIT/(s·cm²·K)
D73;4470579;joule square metre;J·m²
D74;4470580;kilogram per mole;kg/mol
D75;4470581;calorie (international table) per gram;calIT/g
D76;4470582;calorie (international table) per gram kelvin;calIT/(g·K)
D77;4470583;megacoulomb;MC
D78;4470584;megajoule per second;MJ/s
D80;4470832;microwatt;µW
D81;4470833;microtesla;µT
D82;4470834;microvolt;µV
D83;4470835;millinewton metre;mN·m
D85;4470837;microwatt per square metre;µW/m²
D86;4470838;millicoulomb;mC
D87;4470839;millimole per kilogram;mmol/kg
D88;4470840;millicoulomb per cubic metre;mC/m³
D89;4470841;millicoulomb per square metre;mC/m²
D9;17465;dyne per square centimetre;dyn/cm²
D91;4471089;rem;rem
D93;4471091;second per cubic metre;s/m³
D94;4471092;second per cubic metre radian;s/(rad·m³)
D95;4471093;joule per gram;J/g
DAA;4473153;decare;daa
DAD;4473156;ten day;
DAY;4473177;day;d
DB;17474;dry pound;
DD;17476;degree [unit of angle];°
DEC;4474179;decade;
DG;17479;decigram;dg
DJ;17482;decagram;dag
DLT;4475988;decilitre;dl
DMA;4476225;cubic decametre;dam³
DMK;4476235;square decimetre;dm²
DMO;4476239;standard kilolitre;
DMQ;4476241;cubic decimetre;dm³
DMT;4476244;decimetre;dm
DN;17486;decinewton metre;dN·m
DPC;4476995;dozen piece;
DPR;4477010;dozen pair;
DPT;4477012;displacement tonnage;
DRA;4477505;dram (US);
DRI;4477513;dram (UK);
DRL;4477516;dozen roll;
DT;17492;dry ton;
DTN;4478030;decitonne;dt
DU;17493;dyne;dyn
DWT;4478804;pennyweight;
DX;17496;dyne per centimetre;dyn/cm
DZN;4479566;dozen;DOZ
DZP;4479568;dozen pack;
E01;4534321;newton per square centimetre;N/cm²
E07;4534327;megawatt hour per hour;MW·h/h
E08;4534328;megawatt per hertz;MW/Hz
E09;4534329;milliampere hour;mA·h
E10;4534576;degree day;deg da
E11;4534577;gigacalorie;
E12;4534578;mille;
